"model","term","beta_tpi","se_hetero","se_cluster","p_cluster","nobs","r2","inflation"
"(4) No controls","tpi",1.2693,0.1231,1.5122,0.4136,5643,0.0233,12.28
"(5) Unit controls","tpi",1.2111,0.1192,1.5468,0.4451,5643,0.1041,12.98
